Population Group,Strata name,Number_survery
Lebanese,akkar,193
Lebanese,aley,146
Lebanese,baabda,113
Lebanese,baalbek,143
Lebanese,batroun,162
Lebanese,bcharre,171
Lebanese,beirut,174
Lebanese,bent_jbeil,144
Lebanese,chouf,148
Lebanese,hasbaya,147
Lebanese,hermel,151
Lebanese,jbeil,212
Lebanese,jezzine,164
Lebanese,kesrwane,164
Lebanese,koura,147
Lebanese,marjaayoun,144
Lebanese,meten,160
Lebanese,minieh_dennie,149
Lebanese,rachaya,137
Lebanese,saida,144
Lebanese,sour,143
Lebanese,tripoli,235
Lebanese,w_bekaa,144
Lebanese,zahle,149
Lebanese,zgharta,160
Migrant,akkar,120
Migrant,baalbek_hermel,145
Migrant,beirut,145
Migrant,bekaa,140
Migrant,mnt_lbn,145
Migrant,nabatieh,145
Migrant,north,140
Migrant,south,145
Palestine Refugees from Lebanon,akkar,106
Palestine Refugees from Lebanon,baalbek_hermel,102
Palestine Refugees from Lebanon,beirut,161
Palestine Refugees from Lebanon,mnt_lbn,9
Palestine Refugees from Lebanon,north,106
Palestine Refugees from Lebanon,south,106
